Disease,Ayurveda,Siddha
Drug Reaction,Aloe Vera gel and Neem paste for natural detoxification.,Arugampul juice (Bermuda grass) for systemic blood purification.
Malaria,Sudarshan Churna and Amrita Arishta.,Nilavembu Kudineer (Standard herbal decoction).
Allergy,Haridra Khanda (Turmeric mixture) and Triphala.,Thalisadi Choornam for respiratory and Parangi Pattai for skin.
Hypothyroidism,Kanchanar Guggulu and Ashwagandha root extract.,Kanchanara Choornam and general metabolic regulators.
Psoriasis,Panchakarma therapy with Neem and Turmeric.,Vetpalai Thailam (Wrightia tinctoria oil) external application.
GERD,Avipattikar Churna and Amla juice.,Seeraga Kudineer (Cumin water) and Eladi Choornam.
Chronic cholestasis,Bhumyamalaki and Kutki (Picrorhiza kurroa).,Keezhanelli (Phyllanthus niruri) extract.
hepatitis A,Papaya leaf extract and Kalmegh.,Keezhanelli paste consumed with buttermilk.
Osteoarthristis,Shallaki and Yogaraj Guggulu with Sesame oil massage.,Amukkara Choornam and Pinda Thailam.
(vertigo) Paroymsal  Positional Vertigo,Saraswatarishta and Brahmi herbal formulations.,Vallarai Choornam (Centella asiatica) for neurological support.
Hypoglycemia,Ashwagandha and Dhatri (Amla) to stabilize metabolism.,Nellikkai (Amla) based tonics.
Acne,Kumkumadi Tailam and Manjistha.,Kukkil Parpam and Aloe Vera gel application.
Diabetes,Karela juice Jamun seed powder and Shilajit.,Sirukurinjan (Gymnema sylvestre) daily intake.
Impetigo,Neem water wash and external Turmeric paste.,Kuppaimeni (Acalypha indica) leaf paste.
Hypertension,Sarpagandha and Arjuna bark tea.,Marutham pattai (Terminalia arjuna) decoction.
Peptic ulcer diseae,Mulethi (Licorice) powder with milk and Shatavari.,Manathakkali (Black Nightshade) leaves.
Dimorphic hemorrhoids(piles),Abhayarishta and Sitz bath with sphatika.,Thriphala choornam and Karunai kizhangu.
Common Cold,Tulsi ginger tea and Sitopaladi Churna.,Kapasura Kudineer.
Chicken pox,Neem leaf bath and Sandalwood paste.,Neem leaves (Vembu) paste mixed with turmeric.
Cervical spondylosis,Mahanarayan oil application and Guggulu.,Vathamudakki Thailam and Amukkara Choornam.
Hyperthyroidism,Shankhapushpi and Brahmi; avoid highly pungent foods.,Vallarai and nutrient-rich herbal cooling diets.
Urinary tract infection,Gokshuradi Guggulu and Coriander seed water.,Nerunjil (Tribulus terrestris) decoction.
Varicose veins,Sahacharadi Thailam and Manjistha.,Pinda Thailam external application.
AIDS,Rasayana therapy (Immunity boosters like Chyawanprash).,Amukkara Choornam for general immune symptom support.
Paralysis (brain hemorrhage),Panchakarma and Ashwagandha bala lakshadi thailam.,Vatha diseases specific Thailams and traditional Varma therapy.
Typhoid,Sanjeevani Vati and Tulsi extracts.,Nilavembu Kudineer and easily digestible herbal kanji.
Hepatitis B,Bhumyamalaki and Giloy for liver support.,Keezhanelli with milk.
Fungal infection,Tankana Bhasma and Neem oil.,Seemai Agathi (Cassia alata) leaf paste.
Hepatitis C,Kalmegh and Punarnava to reduce liver inflammation.,Keezhanelli and Karisalanganni (Eclipta prostrata).
Migraine,Pathyadi Decoction and Nasya with Anu Thailam.,Neerkoovai mathirai for steam inhalation.
Bronchial Asthma,Kantakari and Vasa (Adhatoda vasica).,Swasa Kudori mathirai and Thalisadi Choornam.
Alcoholic hepatitis,Arogyavardhini Vati and fresh aloe vera juice.,Karisalanganni (Bhringraj) extract.
Jaundice,Sugarcane juice Kutki and Bhumyamalaki.,Keezhanelli paste taken in buttermilk.
Hepatitis E,Liver-protective herbs like Punarnava and Kutki.,Keezhanelli and strict fat-free diet.
Dengue,Papaya leaf juice and Giloy juice.,Nilavembu Kudineer and pure Papaya leaf extract.
Hepatitis D,Bhumyamalaki and Triphala for liver health.,Keezhanelli and Karisalanganni daily.
Heart attack,Immediate medical emergency; long-term preventive Arjuna bark.,Emergency allopathic care required; preventive Marutham pattai.
Pneumonia,Sitopaladi Churna with honey and Swasakas Chintamani Ras.,Kapasura Kudineer and Thalisadi.
Arthritis,Sallaki and Nirgundi oil massage.,Amukkara Choornam and Vathamudakki plants.
Gastroenteritis,Bilva (Bael) fruit powder and Kutajaghan Vati.,Mathulai (Pomegranate) skin decoction.
Tuberculosis,Swarna Bhasma and Chyawanprash (supports standard DOTS).,Chatramutti (Sida cordifolia) for strength.
