Disease,Doctor
Drug Reaction,Allergist / Immunologist
Malaria,Infectious Disease Specialist
Allergy,Allergist / Immunologist
Hypothyroidism,Endocrinologist
Psoriasis,Dermatologist
GERD,Gastroenterologist
Chronic cholestasis,Hepatologist / Gastroenterologist
hepatitis A,Hepatologist
Osteoarthristis,Rheumatologist / Orthopedist
(vertigo) Paroymsal  Positional Vertigo,ENT Specialist / Neurologist
Hypoglycemia,Endocrinologist
Acne,Dermatologist
Diabetes,Endocrinologist
Impetigo,Dermatologist / Pediatrician
Hypertension,Cardiologist / General Physician
Peptic ulcer diseae,Gastroenterologist
Dimorphic hemorrhoids(piles),Proctologist / Gastroenterologist
Common Cold,General Physician
Chicken pox,General Physician / Infectious Disease Specialist
Cervical spondylosis,Orthopedist / Neurologist
Hyperthyroidism,Endocrinologist
Urinary tract infection,Urologist
Varicose veins,Vascular Surgeon / Phlebologist
AIDS,Infectious Disease Specialist
Paralysis (brain hemorrhage),Neurologist
Typhoid,General Physician / Infectious Disease Specialist
Hepatitis B,Hepatologist
Fungal infection,Dermatologist
Hepatitis C,Hepatologist
Migraine,Neurologist
Bronchial Asthma,Pulmonologist
Alcoholic hepatitis,Hepatologist
Jaundice,Hepatologist
Hepatitis E,Hepatologist
Dengue,General Physician / Infectious Disease Specialist
Hepatitis D,Hepatologist
Heart attack,Cardiologist (EMERGENCY)
Pneumonia,Pulmonologist
Arthritis,Rheumatologist / Orthopedist
Gastroenteritis,Gastroenterologist
Tuberculosis,Pulmonologist / Infectious Disease Specialist
